Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2021-02-24,121.69100535268275,122.29487783267318,119.05147832650884,122.09033966064453,,111039900,AAPL
2021-02-25,121.43776543888308,123.17147632846172,117.40542445743719,117.84371948242188,,148199500,AAPL
2021-02-26,119.40211317040608,121.6033452358005,118.04825992472897,118.10670471191406,,164560400,AAPL
2021-03-01,120.53193824590555,124.60323956834041,119.59690349547498,124.46688079833984,,116307900,AAPL
2021-03-02,125.07078727617044,125.37272355528646,121.75920051926317,121.86634063720703,,102260900,AAPL
2021-03-03,121.56437474382311,122.4409721711293,118.6716069492106,118.8858871459961,,112966300,AAPL
2021-03-04,118.583971529586,120.38586201324064,115.53536779088374,117.00609588623047,,178155000,AAPL
2021-03-05,117.83398211644732,118.7690169305712,114.5126538027712,118.26253509521484,,153766600,AAPL
2021-03-08,117.7853048147253,117.85348421909974,113.18804374548343,113.33414459228516,,154376600,AAPL
2021-03-09,115.93468039958287,118.88588550494669,115.70092356585985,117.94110870361328,,129525800,AAPL
2021-03-10,118.52551679323263,118.99303047984385,116.34376148572666,116.8599853515625,,111943300,AAPL
2021-03-11,119.35340180320566,120.00597696289303,118.10668883216246,118.78848266601562,,103026500,AAPL
2021-03-12,117.26907585524096,118.01904922400895,116.0613233493951,117.8826904296875,,88105100,AAPL
2021-03-15,118.25279105319385,120.77543569972144,117.28853020817765,120.76569366455078,,92403800,AAPL
2021-03-16,122.43123557963636,123.91171295180644,121.47672411823375,122.30461883544922,,115227900,AAPL
2021-03-17,120.82414250531377,122.58707194968112,119.15860369194408,121.51567840576172,,111932600,AAPL
2021-03-18,119.68457913932171,119.97678079779097,117.19115272943903,117.39569091796875,,121229700,AAPL
2021-03-19,116.78206442899135,118.27227638684158,116.56778422545804,116.86972045898438,,185549500,AAPL
2021-03-22,117.20087361999786,120.64881838524362,117.13269423612276,120.1812973022461,,111912300,AAPL
2021-03-23,120.12289686033829,121.00922912303349,118.96383954735445,119.35343933105469,,95467100,AAPL
2021-03-24,119.62612832333967,119.70404974763237,116.94764066899515,116.96711730957031,,88530500,AAPL
2021-03-25,116.43142597838931,118.4962991670475,115.90546750304253,117.45411682128906,,98844700,AAPL
2021-03-26,117.22035432205121,118.32097396831911,115.82754049090362,118.05799102783203,,94071200,AAPL
2021-03-29,118.48655542775977,119.3923715504468,117.59048134086395,118.23331451416016,,80819200,AAPL
2021-03-30,116.98659687346046,117.26905645239088,115.76910253203405,116.78205871582031,,85671900,AAPL
2021-03-31,118.48655874928595,120.30792565051348,117.9995609800172,118.97355651855469,,118323800,AAPL
2021-04-01,120.44427792585978,120.95075227765696,119.3046976300742,119.80143737792969,,75089100,AAPL
2021-04-05,120.64884289146045,122.87929380413213,119.86964340519192,122.62605285644531,,88651200,AAPL
2021-04-06,123.21043811923847,123.82405264578033,122.38254338092113,122.927978515625,,80171300,AAPL
2021-04-07,122.55786509964642,124.59351228641088,121.88580577435263,124.57403564453125,,83466700,AAPL
2021-04-08,125.59672494440802,126.99928093380576,125.17791398584798,126.97006225585938,,88844600,AAPL
2021-04-09,126.42461457311639,129.58035037412546,126.1031942856078,129.54139709472656,,106686700,AAPL
2021-04-12,129.0739151583479,129.3953355248616,127.2330638679476,127.82720184326172,,91420000,AAPL
2021-04-13,128.99594759201815,131.15821847574705,128.4992004477625,130.93418884277344,,91266500,AAPL
2021-04-14,131.43094899145666,131.48938634080065,128.2362450900617,128.59661865234375,,87222800,AAPL
2021-04-15,130.34010100083557,131.48940869866695,130.16477406100063,131.00241088867188,,89347100,AAPL
2021-04-16,130.8076234498389,131.16799709740084,129.81414368991753,130.6712646484375,,84922400,AAPL
2021-04-19,130.03812614844625,131.94716375459052,129.87254870669761,131.3335418701172,,94264200,AAPL
2021-04-20,131.50891027779352,132.00564275979164,128.38237738217003,129.64857482910156,,94812300,AAPL
2021-04-21,128.91804235349915,130.27189547649485,127.88560952240783,130.0283966064453,,68847100,AAPL
2021-04-22,129.58038910212525,130.66152498796077,127.99278612277816,128.50900268554688,,84566500,AAPL
2021-04-23,128.72322345292264,131.60624124145804,128.72322345292264,130.82705688476562,,78657500,AAPL
2021-04-26,131.32383017529745,131.5478450047434,130.08685158645528,131.21669006347656,,66905100,AAPL
2021-04-27,131.49913616765673,131.88874331170373,130.62254610203854,130.895263671875,,66015800,AAPL
